1,-0.80205,1.209,10.767
2,-1.012,1.338,10.496
3,-1.173,1.4741,10.175
4,-1.213,1.575,9.8021
5,-1.1921,1.699,9.51
6,-1.13,1.841,9.3559
7,-1.0099,1.987,9.3559
8,-0.85695,2.0509,9.428
9,-0.71295,2.0869,9.5051
10,-0.55995,2.0591,9.6769
11,-0.37995,2.0351,9.888
12,-0.19605,2.032,10.235
13,0.03795,2.0629,10.506
14,0.198,2.1019,10.74
15,0.30405,2.221,10.752
16,0.50505,2.3359,10.834
17,0.82605,2.456,10.951
18,1.206,2.676,11.265
19,1.6541,2.937,11.655
20,2.013,3.114,11.942
21,1.6541,2.865,11.633
22,1.747,2.748,11.42
23,1.731,2.528,11.32
24,1.479,2.253,10.999
25,1.1989,1.97,10.64
26,0.84,1.676,10.338
27,0.354,1.206,9.933
28,-0.201,0.69405,9.524
29,-0.94305,0.45195,9.141
30,-1.987,0.26805,8.83
31,-2.2961,-0.18405,8.49
32,-2.2481,-0.46605,8.1281
33,-2.1949,-0.339,7.9511
34,-2.0539,-0.15,7.865
35,-1.91,0.22005,7.872
36,-1.659,0.73695,7.8101
37,-1.3159,1.472,7.8341
38,-0.708,2.291,7.87
39,0.05205,2.988,7.865
40,0.89295,3.5861,7.867
41,1.7591,4.077,7.8769
42,2.6,4.4741,7.92
43,3.1789,4.723,7.953
44,3.486,4.8529,7.9031
45,3.5141,4.798,7.814
46,3.363,4.5679,7.8049
47,3.0739,4.338,7.8221
48,2.786,4.125,7.86
49,2.31,3.8329,7.9009
50,1.7141,3.488,8.032
51,1.103,3.1481,8.138
52,0.48795,2.892,8.1401
53,-0.00405,2.652,8.1161
54,-0.33705,2.391,8.0419
55,-0.54795,2.15,7.9961
56,-0.636,1.905,8.133
57,-0.77505,1.64,8.403
58,-0.92595,1.3789,8.731
59,-1.2161,0.996,9.057
60,-1.608,0.51195,9.28
61,-2.116,-0.02805,9.452
62,-2.4011,-0.32505,9.725
63,-2.399,-0.27705,10.015
64,-2.142,-0.114,10.29
65,-1.6781,0.306,10.534
66,-0.99105,0.864,10.707
67,-0.28395,1.343,10.735
68,0.21495,1.8379,10.721
69,1.0391,2.4701,10.328
70,1.601,2.6951,9.605
71,1.5559,2.571,9.5291
72,1.441,2.4131,9.378
73,1.51,2.3321,8.904
74,1.517,2.25,8.526
75,1.307,2.1019,8.0921
76,0.91905,1.898,7.719
77,0.53805,1.7779,7.3571
78,0.23205,1.7021,6.933
79,0.01605,1.6901,6.55
80,-0.04995,1.755,6.347
81,0.01605,1.891,6.3731
82,0.13095,2.032,6.6289
83,0.41595,2.1401,6.9191
84,0.78,2.229,6.945
85,1.161,2.3411,6.7781
86,1.503,2.535,6.6049
87,1.8191,2.7649,6.615
88,2.145,3.0469,6.78
89,2.375,3.3251,7.0121
90,2.4131,3.4211,7.326
91,2.229,3.275,7.676
92,2.0111,2.995,7.86
93,1.51,2.492,8.054
94,0.87795,1.8379,8.5691
95,0.459,1.4,8.389
96,0.22905,1.254,7.446
97,-0.01095,1.324,7.046
98,0.05505,1.606,7.257
99,0.82095,2.2571,7.865
100,1.594,2.9209,8.418
101,1.161,2.827,8.796
102,0.61695,2.1401,8.94
103,0.687,1.6781,8.6141
104,1.7711,2.1949,8.787
105,2.8849,2.818,8.7911
106,3.615,3.213,8.4469
107,3.9379,3.2921,7.941
108,4.091,3.0739,7.728
109,4.139,2.724,7.702
110,4.07,2.346,7.913
111,3.919,1.9601,8.243
112,3.636,1.611,8.655
113,3.2321,1.242,8.942
114,2.7191,0.85695,9.083
115,2.162,0.426,9.0551
116,1.553,-0.00195,8.9831
117,0.885,-0.40695,8.9351
118,0.246,-0.85395,8.904
119,-0.26295,-1.347,8.82
120,-0.56205,-1.884,8.861
121,-0.519,-2.322,9.337
122,-0.25095,-2.5421,10.403
123,0.07095,-2.6239,11.686
124,0.31095,-2.9539,14.176
125,0.81405,-3.4781,18.78
126,1.695,-3.7969,17.167
127,2.238,-4.048,13.776
128,2.7889,-3.9979,13.281
129,2.997,-3.5741,12.938
130,2.6831,-2.935,11.976
131,2.233,-2.6261,10.661
132,2.068,-2.652,9.7871
133,2.262,-2.782,9.2411
134,2.533,-2.8699,8.6621
135,2.595,-2.904,8.016
136,2.525,-2.992,7.202
137,2.4341,-3.1361,6.3949
138,2.3239,-3.165,5.763
139,2.2571,-3.1069,5.367
140,2.2069,-3.012,5.253
141,2.2189,-2.904,5.121
142,2.2811,-2.839,5.109
143,2.322,-2.8849,5.353
144,2.2999,-2.997,5.851
145,2.3321,-3.069,6.426
146,2.384,-3.1601,7.091
147,2.399,-3.2839,7.781
148,2.4971,-3.366,8.5489
149,2.6599,-3.419,9.3439
150,2.8729,-3.498,10.194
151,3.124,-3.567,11.042
152,3.318,-3.708,11.676
153,3.431,-3.8569,11.983
154,3.4901,-3.945,12.012
155,3.584,-3.9739,11.83
156,3.689,-3.94,11.564
157,3.699,-3.936,11.329
158,3.5261,-4.0549,11.044
159,3.2561,-4.1659,10.558
160,2.9299,-4.185,10.02
161,2.645,-4.096,9.5381
162,2.4611,-3.9,9.275
163,2.3479,-3.7391,9.2681
164,2.1761,-3.5741,9.411
165,1.953,-3.5501,9.591
166,1.6609,-3.696,9.941
167,1.347,-3.871,10.486
168,1.005,-4.1419,11.178
169,0.603,-4.5199,11.995
170,0.32295,-4.8289,12.833
171,0.126,-5.051,13.853
172,0.07095,-5.305,14.619
173,0.06705,-5.454,15.304
174,0.117,-5.566,15.737
175,0.11895,-5.691,15.886
176,-0.00405,-5.868,16.01
177,-0.20295,-6.0469,16.156
178,-0.34695,-6.0671,16.242
179,-0.129,-5.923,16.307
180,0.201,-5.736,16.317
181,0.67905,-5.5279,16.324
182,1.656,-5.186,16.166
183,4.257,-4.537,15.325
184,5.128,-4.1921,13.556
185,4.506,-3.5501,12.919
186,3.512,-2.976,12.517
187,3.608,-2.3201,12.241
188,4.1081,-1.886,11.937
189,3.735,-1.719,11.605
190,3.249,-1.6541,11.624
191,2.008,-1.8619,11.846
192,1.1561,-2.154,11.93
